rank,file,disease,assertions,pairs,assessed_pairs,mismatch_assertions,partial_assertions,mismatch_aspects,partial_aspects,match_aspects,root_mismatch,root_partial,root_match,max_p_mismatch,no_evidence,missing_snippet,invalid_input,api_error,not_assessed,ready,cached_pairs
16,kb/disorders/Amyotrophic_Lateral_Sclerosis_Type_1.yaml,Amyotrophic Lateral Sclerosis Type 1,141,194,189,62,119,257,337,604,5,125,59,0.96,4,0,0,1,0,0,0
17,kb/disorders/Alpha_Mannosidosis.yaml,Alpha-mannosidosis,187,216,211,61,172,115,495,626,0,122,89,0.96,4,0,0,1,0,0,3
18,kb/disorders/Autosomal_Dominant_Non-Syndromic_Intellectual_Disability.yaml,Autosomal Dominant Non-Syndromic Intellectual Disability,114,210,178,60,76,684,612,500,46,119,13,1.0,32,0,0,0,0,0,0
19,kb/disorders/Androgenetic_Alopecia.yaml,Androgenetic Alopecia,146,238,224,60,124,354,521,793,16,168,40,0.98,11,0,0,3,0,0,0
20,kb/disorders/Autosomal_Dominant_Charcot-Marie-Tooth_Disease_Type_2K.yaml,Autosomal dominant Charcot-Marie-Tooth disease type 2K,118,163,154,60,90,181,272,499,41,80,33,0.98,8,0,0,1,0,0,0
21,kb/disorders/Atrioventricular_Septal_Defect.yaml,Atrioventricular Septal Defect,146,174,172,60,120,156,316,546,13,106,53,0.97,0,0,0,2,0,0,0
22,kb/disorders/Diabetes_Mellitus.yaml,Diabetes mellitus,134,188,179,59,102,169,342,780,18,89,72,0.97,4,0,0,5,0,0,0
23,kb/disorders/Advanced_Sleep_Phase_Syndrome.yaml,Advanced Sleep Phase Syndrome,122,183,148,59,77,403,548,478,16,102,30,0.96,34,0,0,1,0,0,0
24,kb/disorders/Acute_Tricyclic_Antidepressant_Poisoning.yaml,Acute Tricyclic Antidepressant Poisoning,172,219,212,59,113,140,292,778,3,99,110,0.81,7,0,0,0,0,0,0
25,kb/disorders/BRPF1-Related_Intellectual_Disability.yaml,BRPF1-Related Intellectual Disability,120,193,189,57,114,192,541,763,4,123,62,0.95,4,0,0,0,0,0,0
26,kb/disorders/Autosomal_Dominant_Cutis_Laxa_1.yaml,Autosomal Dominant Cutis Laxa 1,155,190,187,57,136,210,468,593,13,114,60,0.93,3,0,0,0,0,0,0
27,kb/disorders/Arthrochalasia_Ehlers-Danlos_Syndrome.yaml,Arthrochalasia Ehlers-Danlos Syndrome,144,188,185,56,130,166,381,549,8,117,60,0.97,0,0,0,3,0,0,0
28,kb/disorders/Acute_Ackee_Fruit_Intoxication.yaml,Acute Ackee Fruit Intoxication,121,152,141,56,84,223,218,508,39,49,53,0.96,9,0,0,2,0,0,0
29,kb/disorders/Autosomal_Recessive_Non-Syndromic_Intellectual_Disability.yaml,Autosomal Recessive Non-Syndromic Intellectual Disability,95,203,192,56,84,608,667,539,19,138,35,0.96,9,0,0,2,0,0,0
30,kb/disorders/Autosomal_Recessive_Dopa_Responsive_Dystonia.yaml,Autosomal Recessive Dopa-Responsive Dystonia,124,154,154,55,103,142,343,569,14,58,82,0.98,0,0,0,0,0,0,0
31,kb/disorders/Aspirin-Exacerbated_Respiratory_Disease.yaml,Aspirin-Exacerbated Respiratory Disease,150,182,180,55,122,243,276,638,10,111,59,0.97,1,0,0,1,0,0,0
32,kb/disorders/Antiphospholipid_Syndrome.yaml,Antiphospholipid Syndrome,131,177,173,55,103,147,378,653,8,110,55,0.97,4,0,0,0,0,0,0
33,kb/disorders/Adrenal_Cortex_Adenoma.yaml,Adrenal Cortex Adenoma,121,151,142,54,97,250,333,516,24,81,37,0.98,9,0,0,0,0,0,0
34,kb/disorders/Amyotrophic_Lateral_Sclerosis_27_Juvenile.yaml,"Amyotrophic Lateral Sclerosis 27, Juvenile",137,188,186,54,124,237,404,612,18,113,55,0.95,1,0,0,1,0,0,0
35,kb/disorders/Amniotic_Band_Syndrome.yaml,Amniotic Band Syndrome,92,119,118,54,83,96,264,400,0,67,51,0.91,0,0,0,1,0,0,0
36,kb/disorders/Combined_Immunodeficiency_Due_To_CD3gamma_Deficiency.yaml,Combined immunodeficiency due to CD3gamma deficiency,158,199,185,53,134,166,423,613,17,101,67,0.96,13,0,0,1,0,0,0
37,kb/disorders/46_XY_Sex_Reversal_11.yaml,"46,XY Sex Reversal 11",130,190,164,53,98,301,413,466,27,118,19,0.94,26,0,0,0,0,0,164
38,kb/disorders/ADNP-Related_Syndrome.yaml,ADNP-Related Syndrome,102,151,148,53,93,184,387,491,4,106,38,0.93,2,0,0,1,0,0,145
39,kb/disorders/Bone_Giant_Cell_Tumor.yaml,Bone Giant Cell Tumor,103,155,147,52,79,289,396,436,17,103,27,0.98,8,0,0,0,0,0,0
40,kb/disorders/Amniotic_Fluid_Embolism.yaml,Amniotic Fluid Embolism,141,195,194,52,130,113,411,479,8,130,56,0.94,0,0,0,1,0,0,0
41,kb/disorders/Asthma.yaml,Asthma,133,264,207,51,64,638,609,780,15,112,80,0.99,53,0,0,4,0,0,25
42,kb/disorders/Congenital_Merosin-deficient_Muscular_Dystrophy_1A.yaml,Congenital Merosin-deficient Muscular Dystrophy 1A,200,272,245,51,153,228,507,906,10,141,94,0.98,27,0,0,0,0,0,0
43,kb/disorders/Agnathia-Otocephaly_Complex.yaml,Agnathia-Otocephaly Complex,99,193,188,51,87,314,518,522,29,112,47,0.98,3,0,0,2,0,0,0
44,kb/disorders/Constitutional_Mismatch_Repair_Deficiency.yaml,Constitutional Mismatch Repair Deficiency,91,139,134,51,78,240,442,451,4,108,22,0.98,4,0,0,1,0,0,0
45,kb/disorders/BRAF_V600_Mutant_Melanoma.yaml,BRAF V600 Mutant Melanoma,86,109,107,51,74,177,271,312,9,83,15,0.93,0,0,0,2,0,0,0
46,kb/disorders/Choroiditis.yaml,Choroiditis,131,171,142,51,93,232,367,432,23,94,25,0.9,28,0,0,1,0,0,0
47,kb/disorders/Arthrogryposis-Renal_Dysfunction-Cholestasis_Syndrome.yaml,Arthrogryposis-Renal Dysfunction-Cholestasis Syndrome,146,210,201,50,114,218,472,692,11,126,64,0.95,9,0,0,0,0,0,0
48,kb/disorders/Auriculocondylar_Syndrome.yaml,Auriculocondylar Syndrome,153,195,192,50,132,186,397,699,8,121,63,0.94,2,0,0,1,0,0,0
49,kb/disorders/Ageing_Associated_Decline_in_Intrinsic_Capacity.yaml,Ageing Associated Decline in Intrinsic Capacity,86,121,113,50,76,220,239,261,21,79,13,0.94,4,0,0,4,0,0,0
50,kb/disorders/Asherman_Syndrome.yaml,Asherman_Syndrome,128,165,158,49,91,248,284,574,21,86,51,0.99,7,0,0,0,0,0,0
51,kb/disorders/CINCA_Syndrome.yaml,CINCA Syndrome,111,150,113,49,70,323,294,289,17,76,20,0.98,37,0,0,0,0,0,0
52,kb/disorders/ADan_amyloidosis.yaml,ADan amyloidosis,80,106,103,49,63,135,182,314,27,51,25,0.98,2,0,0,1,0,0,0
53,kb/disorders/Autosomal_Dominant_Epilepsy_with_Auditory_Features.yaml,Autosomal Dominant Epilepsy with Auditory Features,141,194,192,49,123,332,391,809,22,99,71,0.97,0,0,0,2,0,0,0
54,kb/disorders/Acromesomelic_Dysplasia_Demirhan_Type.yaml,Acromesomelic Dysplasia Demirhan Type,91,115,112,49,75,249,210,404,29,49,34,0.96,3,0,0,0,0,0,112
55,kb/disorders/Congenital_Hydrocephalus.yaml,Congenital Hydrocephalus,128,168,119,49,71,261,385,493,14,78,27,0.94,49,0,0,0,0,0,0
56,kb/disorders/Atransferrinemia.yaml,Atransferrinemia,121,170,165,49,87,228,281,606,10,87,68,0.93,4,0,0,1,0,0,0
57,kb/disorders/Autosomal_Recessive_Primary_Microcephaly.yaml,Autosomal Recessive Primary Microcephaly,142,157,155,49,130,253,431,660,8,95,52,0.92,0,0,0,2,0,0,0
58,kb/disorders/Biotinidase_Deficiency.yaml,Biotinidase Deficiency,107,153,153,49,100,190,404,477,3,92,58,0.9,0,0,0,0,0,0,0
59,kb/disorders/Autosomal_Recessive_Spondylometaphyseal_Dysplasia_Megarbane_Type.yaml,"Autosomal Recessive Spondylometaphyseal Dysplasia, Megarbane Type",125,153,139,48,101,243,328,449,28,60,51,0.94,14,0,0,0,0,0,0
60,kb/disorders/Auroneurodental_Syndrome.yaml,Auroneurodental Syndrome,153,157,143,48,129,60,292,571,10,81,52,0.85,13,0,0,1,0,0,0
61,kb/disorders/Alpers-Huttenlocher_Syndrome.yaml,Alpers-Huttenlocher Syndrome,165,206,195,47,122,239,326,737,9,97,89,0.98,7,0,0,4,0,0,0
62,kb/disorders/Acute_Lichenoid_Pityriasis.yaml,Acute Lichenoid Pityriasis,83,126,123,47,61,210,243,431,24,56,43,0.95,1,0,0,2,0,0,0
63,kb/disorders/Babesiosis.yaml,Babesiosis,130,162,159,47,114,108,347,571,2,99,58,0.94,0,0,0,3,0,0,0
64,kb/disorders/Charcot-Marie-Tooth_Disease_Axonal_Type_2T.yaml,"Charcot-Marie-Tooth disease, axonal, type 2T",110,189,183,47,101,213,482,452,14,138,31,0.92,6,0,0,0,0,0,0
65,kb/disorders/Dent_Disease.yaml,Dent Disease,106,175,149,46,70,224,360,670,9,92,48,0.97,23,0,0,3,0,0,0
66,kb/disorders/Autosomal_Dominant_Polycystic_Liver_Disease.yaml,Autosomal dominant polycystic liver disease,123,168,126,46,78,146,329,408,4,90,32,0.96,42,0,0,0,0,0,0
67,kb/disorders/Cartilage-Hair_Hypoplasia.yaml,Cartilage-hair hypoplasia,154,262,205,46,90,208,530,780,5,144,56,0.93,55,0,0,2,0,0,0
68,kb/disorders/Acute_Myeloid_Leukemia_with_CEBPA_Somatic_Mutations.yaml,Acute Myeloid Leukemia with CEBPA Somatic Mutations,89,108,103,45,79,171,265,297,9,74,20,0.97,5,0,0,0,0,0,0
69,kb/disorders/D-2-Hydroxyglutaric_Aciduria.yaml,D-2-Hydroxyglutaric Aciduria,91,115,109,45,66,144,254,365,11,64,34,0.91,5,0,0,1,0,0,0
70,kb/disorders/Bosma_Arhinia_Microphthalmia_Syndrome.yaml,Bosma Arhinia Microphthalmia Syndrome,120,193,192,45,110,104,393,570,13,107,72,0.86,0,0,0,1,0,0,0
71,kb/disorders/Acute_Motor_and_Sensory_Axonal_Neuropathy.yaml,Acute Motor and Sensory Axonal Neuropathy,81,100,95,44,72,132,302,235,10,69,16,0.98,4,0,0,1,0,0,0
72,kb/disorders/Autosomal_Dominant_Dopa_Responsive_Dystonia.yaml,Autosomal Dominant Dopa-Responsive Dystonia,76,89,89,44,65,115,194,369,11,49,29,0.96,0,0,0,0,0,0,0
73,kb/disorders/BBSome-Related_Retinitis_Pigmentosa.yaml,BBSome-related retinitis pigmentosa,85,101,98,44,77,222,230,347,8,65,25,0.94,2,0,0,1,0,0,0
74,kb/disorders/46_XX_Gonadal_Dysgenesis.yaml,"46,XX Gonadal Dysgenesis",105,142,142,42,92,172,468,547,7,98,37,1.0,0,0,0,0,0,0,142
75,kb/disorders/ADCA-DN.yaml,Autosomal Dominant Cerebellar Ataxia Deafness and Narcolepsy,107,171,131,42,62,282,367,433,18,80,33,1.0,39,0,0,1,0,0,101
76,kb/disorders/46_XY_complete_gonadal_dysgenesis.yaml,"46,XY complete gonadal dysgenesis",131,151,151,42,115,128,418,441,13,89,49,0.98,0,0,0,0,0,0,148
77,kb/disorders/Choroid_Plexus_Neoplasm.yaml,Choroid Plexus Neoplasm,107,176,156,42,83,197,391,632,10,109,37,0.98,18,0,0,2,0,0,0
78,kb/disorders/3-methylglutaconic_Aciduria_With_Deafness_Encephalopathy_And_Leigh-like_Syndrome.yaml,3-methylglutaconic_Aciduria_With_Deafness_Encephalopathy_And_Leigh-like_Syndrome,118,147,142,42,99,208,349,451,16,82,44,0.96,5,0,0,0,0,0,142
79,kb/disorders/Congenital_Glaucoma.yaml,Congenital Glaucoma,98,155,130,42,65,316,445,574,3,86,41,0.96,24,0,0,1,0,0,0
80,kb/disorders/Coal_Workers_Pneumoconiosis.yaml,Coal Workers Pneumoconiosis,115,156,113,42,66,173,335,329,15,80,18,0.95,42,0,0,1,0,0,0
81,kb/disorders/Combined_Oxidative_Phosphorylation_Deficiency_51.yaml,Combined Oxidative Phosphorylation Deficiency 51,87,112,101,42,71,178,277,300,10,74,17,0.94,10,0,0,1,0,0,0
82,kb/disorders/Adult_Onset_Dystonia_Parkinsonism.yaml,Adult-Onset Dystonia-Parkinsonism,93,127,126,42,85,77,245,449,7,62,57,0.89,0,0,0,1,0,0,0
83,kb/disorders/Distal_Myopathy_6_Adult-Onset_Autosomal_Dominant.yaml,"Distal Myopathy 6, Adult-Onset, Autosomal Dominant",70,96,94,41,56,192,169,227,23,46,25,0.98,1,0,0,1,0,0,0
84,kb/disorders/Benign_Neonatal_Seizures.yaml,Benign Neonatal Seizures,79,113,95,41,54,304,313,303,22,61,12,0.98,16,0,0,2,0,0,0
85,kb/disorders/Acute_Megakaryoblastic_Leukemia.yaml,Acute Megakaryoblastic Leukemia,114,161,156,41,88,147,343,601,19,95,42,0.97,5,0,0,0,0,0,0
86,kb/disorders/Aminoglycoside-Induced_Hearing_Loss.yaml,Aminoglycoside-Induced Hearing Loss,93,136,129,41,78,307,280,497,12,88,29,0.96,3,0,0,4,0,0,0
87,kb/disorders/Buschke-Ollendorff_Syndrome.yaml,Buschke-Ollendorff Syndrome,87,121,107,41,68,197,320,343,18,70,19,0.95,13,0,0,1,0,0,0
88,kb/disorders/Aspartylglucosaminuria.yaml,Aspartylglucosaminuria,115,139,136,41,98,88,229,531,9,38,89,0.94,1,0,0,2,0,0,0
89,kb/disorders/Attenuated_Mucopolysaccharidosis_Type_I.yaml,Attenuated Mucopolysaccharidosis Type I,150,198,192,41,122,156,331,672,0,95,97,0.92,5,0,0,1,0,0,0
90,kb/disorders/Acetaminophen_Hepatotoxicity.yaml,Acetaminophen Hepatotoxicity,83,121,117,41,68,102,350,350,3,91,23,0.9,4,0,0,0,0,0,115
91,kb/disorders/Cholera.yaml,Cholera,88,222,188,40,51,303,222,417,63,69,56,1.0,29,4,0,1,0,0,0
92,kb/disorders/Autosomal_Recessive_Ataxia_Beauce_Type.yaml,Autosomal Recessive Ataxia Beauce Type,95,100,96,40,70,68,160,340,23,38,35,0.97,4,0,0,0,0,0,0
93,kb/disorders/Early-Infantile_Developmental_and_Epileptic_Encephalopathy.yaml,Early-Infantile Developmental and Epileptic Encephalopathy,84,117,97,40,64,237,321,275,6,79,12,0.95,19,0,0,1,0,0,0
94,kb/disorders/3-M_Syndrome.yaml,3-M Syndrome,159,178,167,40,112,101,258,737,4,43,120,0.93,11,0,0,0,0,0,167
95,kb/disorders/Atrial_Fibrillation.yaml,Atrial Fibrillation,110,126,106,40,59,118,138,444,0,48,58,0.93,20,0,0,0,0,0,0
96,kb/disorders/ALDH18A1_De_Barsy_Spectrum.yaml,ALDH18A1-Related Spastic Paraplegia and Neurocutaneous Spectrum,85,121,121,40,65,79,264,601,4,64,53,0.9,0,0,0,0,0,0,121
97,kb/disorders/Duchenne_Muscular_Dystrophy.yaml,Duchenne Muscular Dystrophy,149,182,135,39,79,256,451,623,2,80,53,0.92,45,0,0,2,0,0,0
98,kb/disorders/CHD8-Related_Neurodevelopmental_Disorder_with_Overgrowth.yaml,CHD8-Related Neurodevelopmental Disorder with Overgrowth,110,182,163,39,84,134,399,657,7,98,58,0.88,19,0,0,0,0,0,0
99,kb/disorders/CDH2-Related_ACOG_Syndrome.yaml,CDH2-Related ACOG Syndrome,76,110,89,38,53,246,304,159,21,60,8,0.98,20,0,0,1,0,0,0
100,kb/disorders/DLG4-Related_Synaptopathy.yaml,DLG4-Related Synaptopathy,105,153,128,38,72,232,432,504,5,80,43,0.97,25,0,0,0,0,0,0
101,kb/disorders/Autoimmune_Pulmonary_Alveolar_Proteinosis.yaml,Autoimmune Pulmonary Alveolar Proteinosis,104,149,130,38,72,164,305,446,13,74,43,0.97,19,0,0,0,0,0,0
102,kb/disorders/Autosomal_Dominant_Progressive_External_Ophthalmoplegia.yaml,Autosomal Dominant Progressive External Ophthalmoplegia,128,208,159,38,76,241,496,636,5,123,31,0.95,46,0,0,3,0,0,0
103,kb/disorders/Adams-Oliver_Syndrome.yaml,Adams-Oliver Syndrome,103,137,130,38,75,162,304,630,3,82,45,0.95,7,0,0,0,0,0,0
104,kb/disorders/Congenital_Heart_Disease.yaml,Congenital Heart Disease,137,188,131,38,72,190,550,595,2,99,30,0.95,56,0,0,1,0,0,0
105,kb/disorders/Coccidioidomycosis.yaml,Coccidioidomycosis,84,144,136,37,68,228,385,384,11,92,33,1.0,7,0,0,1,0,0,0
106,kb/disorders/Brain_Abnormalities_Neurodegeneration_and_Dysosteosclerosis.yaml,"Brain Abnormalities, Neurodegeneration, and Dysosteosclerosis",106,151,125,37,70,226,298,500,11,71,43,0.98,26,0,0,0,0,0,0
107,kb/disorders/Autosomal_Recessive_Hypercholesterolemia.yaml,Autosomal Recessive Hypercholesterolemia,83,129,114,37,54,139,254,408,14,70,30,0.98,15,0,0,0,0,0,0
108,kb/disorders/Agenesis_of_the_Corpus_Callosum_with_Peripheral_Neuropathy.yaml,Agenesis of the Corpus Callosum with Peripheral Neuropathy,73,99,95,37,60,101,188,342,7,41,47,0.96,0,0,0,4,0,0,0
109,kb/disorders/Cadmium_Poisoning.yaml,Cadmium Poisoning,127,185,141,37,76,197,350,430,14,101,26,0.95,43,0,0,1,0,0,0
110,kb/disorders/Catatonia.yaml,Catatonia,79,107,92,37,57,169,166,319,2,67,23,0.95,14,0,0,1,0,0,0
111,kb/disorders/Alveolar_Rhabdomyosarcoma.yaml,Alveolar Rhabdomyosarcoma,139,163,117,37,83,840,465,424,2,86,29,0.94,45,0,0,1,0,0,0
112,kb/disorders/Autosomal_Dominant_Nonsyndromic_Hearing_Loss_50.yaml,Autosomal Dominant Nonsyndromic Hearing Loss 50,80,135,106,37,42,257,331,397,16,70,20,0.93,28,0,0,1,0,0,0
113,kb/disorders/Adenine_Phosphoribosyltransferase_Deficiency.yaml,Adenine Phosphoribosyltransferase Deficiency,94,141,138,37,79,81,264,562,2,57,79,0.82,1,0,0,2,0,0,0
114,kb/disorders/AFG2A-Related_Encephalopathy.yaml,AFG2A-Related Encephalopathy,69,118,105,36,51,231,234,359,27,50,28,1.0,13,0,0,0,0,0,103
115,kb/disorders/Bleeding_Disorder_of_Unknown_Cause.yaml,Bleeding Disorder of Unknown Cause,84,144,115,36,49,198,321,364,8,81,26,0.95,29,0,0,0,0,0,0
116,kb/disorders/AA_Amyloidosis.yaml,AA Amyloidosis,141,197,179,36,109,191,333,660,8,107,64,0.93,18,0,0,0,0,0,179
117,kb/disorders/Anthracycline_Induced_Cardiomyopathy.yaml,Anthracycline-Induced Cardiomyopathy,101,145,140,36,78,184,270,503,4,87,49,0.93,4,0,0,1,0,0,0
118,kb/disorders/Autosomal_Dominant_Osteopetrosis_Type_I.yaml,Autosomal Dominant Osteopetrosis Type I,74,104,100,36,63,75,192,316,16,49,35,0.9,4,0,0,0,0,0,0
119,kb/disorders/Bacterial_Vaginosis.yaml,Bacterial Vaginosis,75,124,104,36,49,174,336,340,6,80,18,0.9,20,0,0,0,0,0,0
120,kb/disorders/Alkaptonuria.yaml,Alkaptonuria,102,142,138,36,85,106,262,535,5,61,72,0.89,3,0,0,1,0,0,0
121,kb/disorders/Berardinelli_Seip_Congenital_Lipodystrophy.yaml,Berardinelli-Seip Congenital Lipodystrophy,91,113,111,36,84,81,350,343,9,63,39,0.84,0,0,0,2,0,0,0
122,kb/disorders/Autosomal_Dominant_Cerebellar_Ataxia_Type_III.yaml,Autosomal Dominant Cerebellar Ataxia Type III,57,72,71,35,49,137,151,245,24,36,11,0.99,0,0,0,1,0,0,0
123,kb/disorders/BCKDK_Deficiency.yaml,BCKDK Deficiency,83,102,102,35,71,125,236,317,3,55,44,0.97,0,0,0,0,0,0,0
124,kb/disorders/Dilated_Cardiomyopathy_1W.yaml,Dilated Cardiomyopathy 1W,85,118,92,35,54,187,269,350,10,68,14,0.97,25,0,0,1,0,0,0
125,kb/disorders/3p-_Syndrome.yaml,3p- Syndrome,109,140,139,35,80,103,244,538,13,75,51,0.96,1,0,0,0,0,0,139
126,kb/disorders/Coffin_Siris_Syndrome.yaml,Coffin-Siris syndrome,79,139,136,35,67,200,408,517,1,96,39,0.96,3,0,0,0,0,0,0
127,kb/disorders/Amyotrophic_Lateral_Sclerosis-Parkinsonism-Dementia_Complex.yaml,Amyotrophic Lateral Sclerosis-Parkinsonism-Dementia Complex,81,97,94,35,63,78,181,353,2,52,40,0.96,0,0,0,3,0,0,0
128,kb/disorders/Acute_Flaccid_Myelitis.yaml,Acute Flaccid Myelitis,75,97,97,35,71,122,262,246,2,72,23,0.95,0,0,0,0,0,0,0
129,kb/disorders/Cowden_Syndrome.yaml,Cowden Syndrome,70,100,96,35,57,131,236,356,10,70,16,0.94,4,0,0,0,0,0,0
130,kb/disorders/Arginase_Deficiency.yaml,Arginase Deficiency,104,125,116,34,82,94,247,451,5,50,61,0.97,6,0,0,3,0,0,0
131,kb/disorders/Bachmann-Bupp_Syndrome.yaml,Bachmann-Bupp Syndrome,84,163,160,34,69,148,283,615,21,71,68,0.97,3,0,0,0,0,0,0
132,kb/disorders/Crohn_Disease.yaml,Crohn Disease,110,193,140,34,54,227,270,489,22,71,47,0.97,53,0,0,0,0,0,0
133,kb/disorders/Diamond-Blackfan_Anemia_14_With_Mandibulofacial_Dysostosis.yaml,Diamond-Blackfan Anemia 14 with Mandibulofacial Dysostosis,89,133,105,34,49,171,234,320,17,66,22,0.97,28,0,0,0,0,0,0
134,kb/disorders/Atelosteogenesis_Type_II.yaml,Atelosteogenesis Type II,93,127,124,34,85,67,208,447,7,53,64,0.95,1,0,0,2,0,0,0
135,kb/disorders/Bilateral_Microtia-Deafness-Cleft_Palate_Syndrome.yaml,Bilateral Microtia-Deafness-Cleft Palate Syndrome,65,88,77,34,50,128,208,275,17,47,13,0.95,11,0,0,0,0,0,0
136,kb/disorders/Bardet-Biedl_Syndrome.yaml,Bardet-Biedl syndrome,99,130,106,34,74,185,246,453,4,50,52,0.93,22,0,0,2,0,0,0
137,kb/disorders/Abetalipoproteinemia.yaml,Abetalipoproteinemia,133,180,136,33,81,108,342,554,2,63,71,0.98,43,0,0,1,0,0,0
138,kb/disorders/Adult-Onset_Ataxia_and_Polyneuropathy.yaml,Adult-Onset Ataxia and Polyneuropathy,77,104,101,33,71,126,285,322,9,67,25,0.98,3,0,0,0,0,0,0
139,kb/disorders/Autoimmune_Hepatitis.yaml,Autoimmune Hepatitis,75,86,84,33,60,102,139,357,3,47,34,0.98,0,0,0,2,0,0,0
140,kb/disorders/Autoimmune_Polyendocrinopathy.yaml,Autoimmune Polyendocrinopathy,75,89,83,33,57,143,227,331,4,52,27,0.98,4,0,0,2,0,0,0
141,kb/disorders/Cystinuria.yaml,Cystinuria,79,111,110,33,59,206,226,414,5,63,42,0.97,1,0,0,0,0,0,0
142,kb/disorders/Autosomal_Dominant_Cerebellar_Ataxia.yaml,Autosomal Dominant Cerebellar Ataxia,110,151,150,33,93,194,328,467,6,99,45,0.96,0,0,0,1,0,0,0
143,kb/disorders/Autism_Spectrum_Disorder.yaml,Autism Spectrum Disorder,90,113,92,33,67,261,272,222,8,67,17,0.96,20,0,0,1,0,0,0
144,kb/disorders/Autosomal_Dominant_Osteosclerosis_Worth_Type.yaml,Autosomal Dominant Osteosclerosis Worth Type,84,123,108,33,67,118,228,345,17,59,32,0.96,14,0,0,1,0,0,0
145,kb/disorders/Acquired_Partial_Lipodystrophy.yaml,Acquired Partial Lipodystrophy,78,125,123,33,67,173,349,429,10,78,35,0.96,0,0,0,2,0,0,0
146,kb/disorders/Autosomal_Recessive_Cerebellar_Ataxia_With_Late_Onset_Spasticity.yaml,Autosomal Recessive Cerebellar Ataxia With Late-Onset Spasticity,69,80,80,33,66,82,193,197,9,62,9,0.95,0,0,0,0,0,0,0
147,kb/disorders/Apparent_Mineralocorticoid_Excess.yaml,apparent mineralocorticoid excess,102,152,150,33,88,109,252,554,6,79,65,0.9400000000000001,2,0,0,0,0,0,0
148,kb/disorders/CHILD_Syndrome.yaml,CHILD Syndrome,88,115,95,33,60,133,239,349,7,51,37,0.94,20,0,0,0,0,0,0
149,kb/disorders/CANVAS.yaml,CANVAS,71,85,81,33,65,74,174,219,7,52,22,0.93,3,0,0,1,0,0,0
150,kb/disorders/Charcot-Marie-Tooth_Disease_Type_4B3.yaml,Charcot-Marie-Tooth Disease Type 4B3,88,136,110,33,58,183,320,378,12,71,27,0.93,24,0,0,2,0,0,0
151,kb/disorders/Bainbridge-Ropers_Syndrome.yaml,Bainbridge-Ropers syndrome,88,149,135,33,72,175,427,468,6,94,35,0.91,14,0,0,0,0,0,0
152,kb/disorders/Allan-Herndon-Dudley_Syndrome.yaml,Allan-Herndon-Dudley Syndrome,112,182,139,33,68,167,399,576,3,100,36,0.89,43,0,0,0,0,0,130
