rank,file,disease,assertions,pairs,assessed_pairs,mismatch_assertions,partial_assertions,mismatch_aspects,partial_aspects,match_aspects,root_mismatch,root_partial,root_match,max_p_mismatch,no_evidence,missing_snippet,invalid_input,api_error,not_assessed,ready,cached_pairs
1,kb/disorders/Autosomal_Agammaglobulinemia.yaml,Autosomal Agammaglobulinemia,229,277,260,91,179,296,424,1080,50,106,104,0.98,14,0,0,3,0,0,0
2,kb/disorders/Autosomal_Dominant_Hypercholesterolemia_3.yaml,Autosomal Dominant Hypercholesterolemia 3,141,203,198,87,126,458,460,629,25,147,26,0.97,3,0,0,2,0,0,0
3,kb/disorders/Androgen_Insensitivity_Syndrome.yaml,Androgen Insensitivity Syndrome,191,247,240,86,107,282,314,1017,13,105,122,0.95,3,0,0,4,0,0,0
4,kb/disorders/Alzheimer_Disease.yaml,Alzheimer Disease,190,474,408,83,121,1803,1916,1461,41,317,50,1.0,61,0,0,5,0,0,0
5,kb/disorders/Alcohol_Use_Disorder.yaml,Alcohol Use Disorder,198,261,255,82,166,289,482,1013,13,161,81,0.94,3,0,0,3,0,0,0
6,kb/disorders/Adult-Onset_Myasthenia_Gravis.yaml,Adult-Onset Myasthenia Gravis,175,212,207,75,146,212,352,817,14,120,73,0.98,4,0,0,1,0,0,0
7,kb/disorders/Autoimmune_Pancreatitis.yaml,Autoimmune Pancreatitis,159,226,223,73,127,313,383,954,32,125,66,0.99,1,0,0,2,0,0,0
8,kb/disorders/Angelman_Syndrome.yaml,Angelman Syndrome,161,216,216,73,133,270,409,757,6,116,94,0.97,0,0,0,0,0,0,0
9,kb/disorders/Achondroplasia.yaml,Achondroplasia,151,229,219,72,126,254,500,788,5,114,100,0.98,10,0,0,0,0,0,94
10,kb/disorders/Amyotrophic_Lateral_Sclerosis.yaml,Amyotrophic Lateral Sclerosis,158,245,223,72,112,384,515,860,14,119,90,0.98,20,0,0,2,0,0,0
11,kb/disorders/Acrofacial_Dysostosis_Cincinnati_Type.yaml,Acrofacial Dysostosis Cincinnati Type,198,219,205,71,172,144,459,666,38,111,56,0.92,12,0,0,2,0,0,0
12,kb/disorders/Autosomal_Dominant_Cerebellar_Ataxia_Type_I.yaml,Autosomal Dominant Cerebellar Ataxia Type I,115,155,155,70,86,325,287,597,36,60,59,0.95,0,0,0,0,0,0,0
13,kb/disorders/Cerebrotendinous_Xanthomatosis.yaml,Cerebrotendinous xanthomatosis,152,186,182,69,137,130,405,637,2,89,91,0.92,0,0,0,4,0,0,0
14,kb/disorders/Aortic_Valve_Stenosis.yaml,Aortic Valve Stenosis,162,219,219,68,138,248,380,732,12,135,72,0.98,0,0,0,0,0,0,5
15,kb/disorders/46_XY_Partial_Gonadal_Dysgenesis.yaml,"46,XY partial gonadal dysgenesis",158,233,228,62,136,305,501,670,17,153,58,0.99,5,0,0,0,0,0,228
